Product,Varientid,Product_Title,Description,Type,Vendor,Tags,Weight,SKU,Processing_time,Slug,Price,Compare_price,Cost,Quantity,Recommended_price,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",Category,"Variant Barcode",Images
1829,1856,"Box of Crayons Key Chain","<p>This crayon key chain is an adorable silver charm in the shape of a box of crayons with the word ""Crayons"" in the center on a horseshoe style key ring. The key ring is 1 1/4 inches in diameter and the charm is 1/2 inch tall by 3/8 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Crayons, Teacher/School - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-4",0.045359237,RE-K-10-TS,,box-of-crayons-key-chain-1-key-chain-retail,2.25,,2.25,500,8.99,Title,"Default Title",,,,,Teacher/School,'849228098167,202105181457box-of-crayons-key-chain-1-key-chain-retail93784784.jpg
1830,1857,"Crystal Pink Ribbon Silver Heart Keychain","<p>This pink ribbon keychain has a silver heart charm with a crystal pink ribbon on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"Breast Cancer, clearance_No, color_Pink, GiftOption_Yes, Key Chains, Pink Ribbon - Retail, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-2,",0.045359237,RE-K-100-1,,crystal-pink-ribbon-silver-heart-keychain-1-keychain-retail,2.75,,2.75,500,8.99,Title,"Default Title",,,,,"Pink Ribbon",'849228063783,202105181457crystal-pink-ribbon-silver-heart-keychain-1-keychain-retail196097831.jpg
1831,1858,"Blue & Yellow Ribbon Crystal Heart Key Chain","<p>This Down syndrome awareness key chain has a silver heart charm with a crystal blue and yellow ribbon on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"Blue & Yellow Ribbon - Retail, clearance_No, color_Blue-Yellow, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy ",0.045359237,RE-K-100-10,,blue-yellow-ribbon-crystal-heart-key-chain-1-key-chain-retail,2.75,,2.75,999,8.99,Title,"Default Title",,,,,"Yellow & Blue Ribbon",'849228077629,202105181457blue-yellow-ribbon-crystal-heart-key-chain-1-key-chain-retail240701077.jpg
1832,1859,"Silver Heart Crystal Gold Ribbon Key Chains","<p>This gold ribbon key chain has a  pretty silver heart charm with a crystal gold ribbon on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Gold, Generic, GiftOption_Yes, Gold Ribbon - Wholesale, Key Chains, product-type_Key Chains, shape_Heart, Wholesale Merchandise Shop, Wholesale Merchandise Shop: Gold Ribb",0.01800761709,RE-K-100-11,,silver-heart-crystal-gold-ribbon-key-chains,2.75,,2.75,500,8.99,"Package Quantity","1 Keychain",,,,,"Gold Ribbon",'849228083903,202105181457silver-heart-crystal-gold-ribbon-key-chains168152498.jpg
1833,1860,"Crystal Pink & Blue Ribbon Heart Key Chain","<p>This pink and blue ribbon key chain has a silver heart charm with a crystal pink and blue ribbon on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Pink-Blue, Generic, GiftOption_Yes, Key Chains, Pink & Blue Ribbon - Retail, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just ",0.045359237,RE-K-100-16,,crystal-pink-blue-ribbon-heart-key-chain-1-key-chain-retail,2.75,,2.75,999,8.99,Title,"Default Title",,,,,"Pink & Blue Ribbon",'849228086829,202105181457crystal-pink-blue-ribbon-heart-key-chain-1-key-chain-retail378569066.jpg
1834,1861,"Crystal Teal Ribbon Silver Heart Key Chain","<p>This teal ribbon key chain has a silver heart charm with a crystal teal ribbon on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 5/8 inch by 5/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Teal, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, Teal Ribbon - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-10, Whol",0.045359237,RE-K-100-3,,crystal-teal-ribbon-silver-heart-key-chain-1-key-chain-retail,2.75,,2.75,999,8.99,Title,"Default Title",,,,,"Teal Ribbon",'8945091223087,202105181457crystal-teal-ribbon-silver-heart-key-chain-1-key-chain-retail282080015.jpg
1835,1862,"Round Believe Pink Ribbon Keychain","<p>This pink ribbon keychain is a round silver charm with the word ""Believe"" where the ""L"" is a pink ribbon and a pretty stitching style trim design around the edge of the charm on a sterling silver plated horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Pink, Generic, GiftOption_Yes, Key Chains, Pink Ribbon - Retail, product-type_Key Chains, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-2, Whole",0.045359237,RE-K-117-1,,round-believe-pink-ribbon-keychain-1-keychain-retail,2.5,,2.5,500,8.99,Title,"Default Title",,,,,"Pink Ribbon",'849228068320,202105181457round-believe-pink-ribbon-keychain-1-keychain-retail345805092.jpg
1836,1863,"Round Believe Purple Ribbon Key Chain","<p>This purple ribbon keychain is a round silver charm with the word ""Believe"" where the ""L"" is a purple ribbon and a pretty stitching style trim design around the edge of the charm on a sterling silver plated horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Purple, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, Purple Ribbon - Retail, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-5, w",0.045359237,RE-K-117-4,,round-believe-purple-ribbon-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,"Purple Ribbon",'8945091224855,202105181457round-believe-purple-ribbon-key-chain-1-key-chain-retail344455750.jpg
1837,1864,"Live Love Rescue Key Chain","<p>This sterling silver plated key chain has a circle charm that","Wholesale Merchandise Shop",vendor-unknown,"Animal - Retail, clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-14, Wholesa",0.045359237,RE-K-12-P,,live-love-rescue-key-chain,2.5,,2.5,999,9.99,Title,"Default Title",,,,,,'8945091239057,202105181457live-love-rescue-key-chain153018115.jpg
1838,1865,"I Love To Cheer Key Chain","<p>This ""I Love to Cheer"" key chain has an adorable silver charm on a horseshoe style key ring. Great gift for someone who just made the cheerleading squad. The key ring is 1 1/4 inches in diameter and the charm is 1/2 inch tall by 3/4 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Cheerleading, clearance_No, color_Silver, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Words, Sports - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-43",0.045359237,RE-K-12-SPCH,,i-love-to-cheer-key-chain-1-key-chain-retail,2.5,,2.5,500,8.99,Title,"Default Title",,,,,Sports,'8945091224176,202105181457i-love-to-cheer-key-chain-1-key-chain-retail18664760.jpg
1839,1866,"I Love Someone With Down Syndrome Key Chain","<p>This Down syndrome awareness key chain has a silver heart charm that says ""I Love Someone With Down Syndrome"" on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 7/8 inch by 7/8 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"Blue & Yellow Ribbon - Retail, clearance_No, color_Silver, Down Syndrome, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy ",0.045359237,RE-K-123-10,,i-love-someone-with-down-syndrome-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,"Yellow & Blue Ribbon",'849228077704,202105181457i-love-someone-with-down-syndrome-key-chain-1-key-chain-retail420412314.jpg
1840,1867,"Down Syndrome Awareness Key Chain","<p>This Down syndrome awareness key chain has a round silver ring with a blue and yellow ribbon hanging in the center and the words ""Down Syndrome Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"Blue & Yellow Ribbon - Retail, clearance_No, color_Blue-Yellow, Down Syndrome, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop ",0.045359237,RE-K-126-10DS,,down-syndrome-awareness-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,"Yellow & Blue Ribbon",'810003046536,202105181457down-syndrome-awareness-key-chain-1-key-chain-retail438892055.jpg
1841,1868,"Childhood Cancer Awareness Key Chain","<p>This pediatric cancer awareness key chain has a round silver ring with a gold ribbon hanging in the center and the words ""Childhood Cancer Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"Childhood Cancer, clearance_No, color_Gold, GiftOption_Yes, Gold Ribbon - Retail, Key Chains, product-type_Key Chains, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)",0.045359237,RE-K-126-11CC,,childhood-cancer-awareness-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,"Gold Ribbon",'849228099881,202105181457childhood-cancer-awareness-key-chain-1-key-chain-retail416007379.jpg
1842,1869,"Prostate Cancer Awareness Key Chain","<p>This prostate cancer awareness key chain has a round silver ring with a light blue ribbon hanging in the center and the words ""Prostate Cancer Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Light Blue, GiftOption_Yes, Key Chains, Light Blue Ribbon - Retail, product-type_Key Chains, Prostate Cancer, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (",0.045359237,RE-K-126-12PC,,prostate-cancer-awareness-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,,'849228099904,202105181457prostate-cancer-awareness-key-chain-1-key-chain-retail125917296.jpg
1843,1870,"Cerebral Palsy Awareness Key Chain","<p>This Cerebral Palsy awareness key chain is a round silver ring with a green ribbon hanging in the center and the words ""Cerebral Palsy Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the ribbon charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"Cerebral Palsy, clearance_No, color_Green, GiftOption_Yes, Green - Retail, Keychain, product-type_Key Chains, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1), Wholesa",0.045359237,RE-K-126-13CP,,cerebral-palsy-awareness-key-chain-1-key-chain-retail,2.5,,2.5,500,8.99,Title,"Default Title",,,,,"Green Ribbon",'849228099928,202105181457cerebral-palsy-awareness-key-chain-1-key-chain-retail254916848.jpg
1844,1871,"Organ Donors Awareness Key Chain","<p>This organ donation awareness key chain is a round silver ring with a green ribbon hanging in the center and the words ""Organ Donors Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the ribbon charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Green, GiftOption_Yes, Green Ribbon - Retail, Key Chains, Organ Donation, product-type_Key Chains, shape_Round, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)",0.045359237,RE-K-126-13OD,,organ-donors-awareness-key-chain-1-key-chain-retail,2.5,,2.5,500,8.99,Title,"Default Title",,,,,,'849228099942,202105181457organ-donors-awareness-key-chain-1-key-chain-retail346668120.jpg
1845,1872,"Lung Cancer Awareness Key Chain","<p>This Lung Cancer awareness key chain has a round silver ring with a white ribbon hanging in the center and the words ""Lung Cancer Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_White, GiftOption_Yes, Key Chains, Lung Cancer, product-type_Key Chains, shape_Round, walmart, White Ribbon - Retail, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-19",0.045359237,RE-K-126-15LC,,lung-cancer-awareness-key-chain-1-key-chain-retail,2.5,,2.5,999,8.99,Title,"Default Title",,,,,"White Ribbon",'810003046697,202105181457lung-cancer-awareness-key-chain-1-key-chain-retail129928097.jpg
1846,1873,"Ovarian Cancer Awareness Key Chain","<p>This ovarian cancer awareness key chain has a round silver ring with a teal ribbon hanging in the center and the words ""Ovarian Cancer Awareness"" around the outside on a horseshoe style key ring. The key ring is 1 1/2 inches in diameter and the charm is 3/4 inch in diameter.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_Yes, color_Teal, GiftOption_Yes, Key Chains, Ovarian Cancer, product-type_Key Chains, shape_Round, Teal Ribbon - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-",0.045359237,RE-K-126-3OC,,ovarian-cancer-awareness-key-chain-1-key-chain-retail,2.5,,2.5,9,8.99,Title,"Default Title",,,,,"Teal Ribbon",'8945091222059,202105181457ovarian-cancer-awareness-key-chain-1-key-chain-retail227647051.jpg
